Date,Open,High,Low,Close,Volume,Adj Close
2007-12-31,0.275,0.275,0.27,0.27,20000,0.27
2007-12-28,0.275,0.275,0.275,0.275,10000,0.275
2007-12-27,0.28,0.285,0.28,0.285,15000,0.285
2007-12-26,0.285,0.285,0.285,0.285,000,0.285
2007-12-25,0.285,0.285,0.285,0.285,000,0.285
2007-12-24,0.265,0.285,0.265,0.285,31500,0.285
2007-12-21,0.24,0.24,0.24,0.24,000,0.24
2007-12-20,0.26,0.26,0.24,0.24,22100,0.24
2007-12-19,0.26,0.265,0.24,0.25,130500,0.25
2007-12-18,0.26,0.28,0.245,0.245,235000,0.245
2007-12-17,0.24,0.245,0.225,0.24,120500,0.24
2007-12-14,0.23,0.23,0.20,0.225,78000,0.225
2007-12-13,0.19,0.225,0.19,0.225,50500,0.225
2007-12-12,0.205,0.205,0.19,0.20,66300,0.20
2007-12-11,0.17,0.19,0.17,0.19,315000,0.19
2007-12-10,0.17,0.18,0.17,0.18,150500,0.18
2007-12-07,0.18,0.18,0.18,0.18,000,0.18
2007-12-06,0.18,0.18,0.18,0.18,000,0.18
2007-12-05,0.18,0.18,0.18,0.18,000,0.18
2007-12-04,0.18,0.18,0.18,0.18,20500,0.18
2007-12-03,0.17,0.17,0.17,0.17,000,0.17
2007-11-30,0.17,0.17,0.17,0.17,3000,0.17
2007-11-29,0.18,0.18,0.17,0.17,75500,0.17
2007-11-28,0.14,0.14,0.14,0.14,000,0.14
2007-11-27,0.14,0.14,0.14,0.14,000,0.14
2007-11-26,0.14,0.14,0.14,0.14,000,0.14
2007-11-23,0.15,0.15,0.14,0.14,13500,0.14
2007-11-22,0.18,0.18,0.18,0.18,000,0.18
2007-11-21,0.18,0.18,0.18,0.18,000,0.18
2007-11-20,0.18,0.18,0.18,0.18,000,0.18
2007-11-19,0.18,0.18,0.18,0.18,000,0.18
2007-11-16,0.18,0.18,0.18,0.18,500,0.18
2007-11-15,0.18,0.18,0.18,0.18,10000,0.18
2007-11-14,0.175,0.175,0.175,0.175,000,0.175
2007-11-13,0.175,0.175,0.175,0.175,000,0.175
2007-11-12,0.175,0.175,0.175,0.175,500,0.175
2007-11-09,0.175,0.18,0.175,0.175,37400,0.175
2007-11-08,0.15,0.15,0.15,0.15,000,0.15
2007-11-07,0.18,0.18,0.15,0.15,11600,0.15
2007-11-06,0.135,0.15,0.135,0.15,419800,0.15
2007-11-05,0.13,0.13,0.13,0.13,000,0.13
2007-11-02,0.13,0.13,0.13,0.13,000,0.13
2007-11-01,0.13,0.13,0.13,0.13,000,0.13
2007-10-31,0.13,0.13,0.13,0.13,000,0.13
2007-10-30,0.13,0.13,0.13,0.13,26000,0.13
2007-10-29,0.12,0.13,0.12,0.13,24000,0.13
2007-10-26,0.13,0.13,0.13,0.13,000,0.13
2007-10-25,0.13,0.13,0.13,0.13,000,0.13
2007-10-24,0.13,0.13,0.13,0.13,100,0.13
2007-10-23,0.13,0.13,0.13,0.13,000,0.13
2007-10-22,0.13,0.13,0.13,0.13,8000,0.13
2007-10-19,0.13,0.135,0.13,0.135,12000,0.135
2007-10-18,0.13,0.13,0.13,0.13,000,0.13
2007-10-17,0.13,0.13,0.13,0.13,000,0.13
2007-10-16,0.13,0.13,0.13,0.13,000,0.13
2007-10-15,0.13,0.13,0.13,0.13,000,0.13
2007-10-12,0.13,0.13,0.13,0.13,000,0.13
2007-10-11,0.13,0.13,0.13,0.13,000,0.13
2007-10-10,0.13,0.13,0.13,0.13,000,0.13
2007-10-09,0.13,0.13,0.13,0.13,50000,0.13
2007-10-08,0.115,0.115,0.115,0.115,000,0.115
2007-10-05,0.115,0.115,0.115,0.115,000,0.115
2007-10-04,0.115,0.115,0.115,0.115,000,0.115
2007-10-03,0.105,0.12,0.105,0.115,49700,0.115
2007-10-02,0.08,0.08,0.08,0.08,000,0.08
2007-10-01,0.08,0.08,0.08,0.08,300,0.08
2007-09-28,0.08,0.08,0.08,0.08,2100,0.08
2007-09-27,0.075,0.075,0.075,0.075,11300,0.075
2007-09-26,0.075,0.075,0.075,0.075,2000,0.075
2007-09-25,0.08,0.08,0.08,0.08,000,0.08
2007-09-24,0.08,0.08,0.08,0.08,000,0.08
2007-09-21,0.08,0.08,0.08,0.08,66700,0.08
2007-09-20,0.085,0.085,0.085,0.085,000,0.085
2007-09-19,0.085,0.085,0.085,0.085,000,0.085
2007-09-18,0.085,0.085,0.085,0.085,000,0.085
2007-09-17,0.085,0.085,0.085,0.085,000,0.085
2007-09-14,0.085,0.085,0.085,0.085,000,0.085
2007-09-13,0.08,0.085,0.08,0.085,10000,0.085
2007-09-12,0.10,0.10,0.10,0.10,000,0.10
2007-09-11,0.10,0.10,0.10,0.10,000,0.10
2007-09-10,0.10,0.10,0.10,0.10,000,0.10
2007-09-07,0.10,0.10,0.10,0.10,000,0.10
2007-09-06,0.10,0.10,0.10,0.10,000,0.10
2007-09-05,0.10,0.10,0.10,0.10,000,0.10
2007-09-04,0.10,0.10,0.10,0.10,34700,0.10
2007-09-03,0.10,0.10,0.10,0.10,000,0.10
2007-08-31,0.105,0.105,0.10,0.10,5500,0.10
2007-08-30,0.10,0.10,0.10,0.10,000,0.10
2007-08-29,0.10,0.10,0.10,0.10,000,0.10
2007-08-28,0.10,0.10,0.10,0.10,000,0.10
2007-08-27,0.105,0.105,0.10,0.10,10000,0.10
2007-08-24,0.12,0.12,0.12,0.12,000,0.12
2007-08-23,0.12,0.12,0.12,0.12,27000,0.12
