Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,3.81,3.99,3.79,3.95,33022900,3.425084
2012-12-28,3.87,3.92,3.80,3.81,39740200,3.303689
2012-12-27,4.06,4.07,3.93,4.00,39851800,3.46844
2012-12-26,4.04,4.06,3.93,4.05,30315500,3.511795
2012-12-24,4.05,4.06,3.93,4.00,21078400,3.46844
2012-12-21,4.03,4.09,3.97,3.99,65942700,3.459768
2012-12-20,4.19,4.27,4.15,4.18,48289300,3.624519
2012-12-19,4.30,4.35,4.14,4.21,79778000,3.650533
2012-12-18,4.17,4.27,4.10,4.20,97643300,3.641861
2012-12-17,3.84,4.04,3.83,3.95,79283700,3.425084
2012-12-14,3.84,3.88,3.79,3.82,55682800,3.31236
2012-12-13,3.76,3.84,3.69,3.76,55650400,3.260333
2012-12-12,3.83,3.85,3.80,3.83,31642500,3.321031
2012-12-11,3.72,3.87,3.72,3.79,46368800,3.286346
2012-12-10,3.71,3.73,3.59,3.69,65132500,3.199636
2012-12-07,3.85,3.90,3.74,3.85,68348400,3.338373
2012-12-06,3.87,3.90,3.66,3.75,85861600,3.251662
2012-12-05,3.56,3.90,3.55,3.88,144779500,3.364386
2012-12-04,3.31,3.46,3.28,3.44,47247000,2.982858
2012-12-03,3.29,3.31,3.24,3.26,23716900,2.826778
2012-11-30,3.29,3.34,3.25,3.26,34648600,2.826778
2012-11-29,3.39,3.42,3.26,3.32,67252300,2.878805
2012-11-28,3.20,3.32,3.17,3.27,56154900,2.835449
2012-11-27,3.35,3.36,3.15,3.17,72293700,2.748738
2012-11-26,3.54,3.55,3.35,3.36,75027400,2.913489
2012-11-23,3.44,3.59,3.38,3.56,95862700,3.086911
2012-11-21,3.07,3.40,3.05,3.31,147661800,2.870134
2012-11-20,2.97,3.03,2.92,2.95,49847400,2.557974
2012-11-19,2.88,2.95,2.86,2.94,45610300,2.549303
2012-11-16,2.75,2.80,2.66,2.77,33315000,2.401894
2012-11-15,2.71,2.78,2.69,2.72,34720700,2.358539
2012-11-14,2.78,2.79,2.63,2.67,34390700,2.315183
2012-11-13,2.64,2.70,2.63,2.69,20052100,2.332526
2012-11-12,2.72,2.74,2.67,2.71,15221600,2.349868
2012-11-09,2.62,2.67,2.61,2.65,22222700,2.297841
2012-11-08,2.64,2.68,2.60,2.62,23227300,2.271828
2012-11-07,2.69,2.71,2.60,2.64,41941000,2.28917
2012-11-06,2.77,2.82,2.75,2.77,21711600,2.401894
2012-11-05,2.77,2.83,2.74,2.77,21756200,2.401894
2012-11-02,2.81,2.85,2.76,2.80,29246300,2.427908
2012-11-01,2.76,2.86,2.74,2.85,35760200,2.471263
2012-10-31,2.70,2.72,2.65,2.67,24822200,2.315183
2012-10-26,2.60,2.61,2.56,2.56,26625600,2.219801
2012-10-25,2.63,2.66,2.61,2.63,22867000,2.280499
2012-10-24,2.65,2.67,2.56,2.56,27844400,2.219801
2012-10-23,2.62,2.72,2.61,2.68,60021600,2.323855
2012-10-22,2.84,2.87,2.76,2.81,47336300,2.436579
2012-10-19,2.84,2.85,2.70,2.74,42623200,2.375881
2012-10-18,2.82,2.95,2.74,2.80,125718200,2.427908
2012-10-17,2.87,2.94,2.81,2.94,49744900,2.549303
2012-10-16,2.75,2.85,2.74,2.82,48245600,2.44525
2012-10-15,2.60,2.69,2.58,2.68,22022700,2.323855
2012-10-12,2.55,2.59,2.53,2.56,25442000,2.219801
2012-10-11,2.57,2.60,2.52,2.55,29076600,2.21113
2012-10-10,2.63,2.65,2.52,2.60,33201800,2.254486
2012-10-09,2.73,2.76,2.67,2.68,21231000,2.323855
2012-10-08,2.65,2.68,2.65,2.68,10680600,2.323855
2012-10-05,2.70,2.71,2.65,2.68,15780400,2.323855
2012-10-04,2.66,2.69,2.60,2.64,26096200,2.28917
2012-10-03,2.63,2.67,2.58,2.66,30106100,2.306512
2012-10-02,2.78,2.81,2.59,2.62,53093700,2.271828
2012-10-01,2.59,2.79,2.59,2.76,70242400,2.393223
2012-09-28,2.64,2.67,2.55,2.58,60624700,2.237143
2012-09-27,2.65,2.69,2.60,2.67,29255000,2.315183
