Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,0.285,0.285,0.285,0.285,6500,0.285
2012-12-28,0.29,0.29,0.29,0.29,000,0.29
2012-12-27,0.29,0.29,0.29,0.29,000,0.29
2012-12-26,0.29,0.29,0.29,0.29,000,0.29
2012-12-25,0.29,0.29,0.29,0.29,000,0.29
2012-12-24,0.29,0.29,0.29,0.29,000,0.29
2012-12-21,0.31,0.31,0.29,0.29,13000,0.29
2012-12-20,0.31,0.31,0.30,0.30,11200,0.30
2012-12-19,0.31,0.31,0.29,0.29,10000,0.29
2012-12-18,0.30,0.30,0.30,0.30,1000,0.30
2012-12-17,0.325,0.325,0.28,0.31,14200,0.31
2012-12-14,0.34,0.34,0.29,0.325,3000,0.325
2012-12-13,0.315,0.33,0.30,0.305,14400,0.305
2012-12-12,0.32,0.32,0.32,0.32,000,0.32
2012-12-11,0.34,0.34,0.305,0.32,11000,0.32
2012-12-10,0.32,0.32,0.315,0.315,4500,0.315
2012-12-07,0.325,0.325,0.32,0.32,34000,0.32
2012-12-06,0.34,0.34,0.32,0.32,1000,0.32
2012-12-05,0.35,0.35,0.32,0.32,6600,0.32
2012-12-04,0.325,0.325,0.325,0.325,16000,0.325
2012-12-03,0.34,0.34,0.34,0.34,000,0.34
2012-11-30,0.34,0.34,0.34,0.34,000,0.34
2012-11-29,0.32,0.34,0.32,0.34,5000,0.34
2012-11-28,0.365,0.365,0.32,0.33,13000,0.33
2012-11-27,0.365,0.365,0.365,0.365,000,0.365
2012-11-26,0.365,0.365,0.365,0.365,000,0.365
2012-11-23,0.37,0.37,0.365,0.365,7000,0.365
2012-11-22,0.42,0.42,0.42,0.42,000,0.42
2012-11-21,0.42,0.42,0.42,0.42,1700,0.42
2012-11-20,0.39,0.415,0.39,0.415,15000,0.415
2012-11-19,0.39,0.40,0.39,0.40,11500,0.40
2012-11-16,0.39,0.39,0.39,0.39,10000,0.39
2012-11-15,0.42,0.42,0.42,0.42,000,0.42
2012-11-14,0.42,0.42,0.42,0.42,000,0.42
2012-11-13,0.39,0.42,0.39,0.42,12000,0.42
2012-11-12,0.395,0.395,0.39,0.39,2500,0.39
2012-11-09,0.39,0.445,0.39,0.445,10200,0.445
2012-11-08,0.42,0.42,0.42,0.42,000,0.42
2012-11-07,0.395,0.42,0.385,0.42,11900,0.42
2012-11-06,0.395,0.425,0.395,0.425,10000,0.425
2012-11-05,0.39,0.39,0.39,0.39,9400,0.39
2012-11-02,0.38,0.41,0.32,0.41,15500,0.41
2012-11-01,0.375,0.44,0.375,0.44,19200,0.44
2012-10-31,0.44,0.44,0.44,0.44,10000,0.44
2012-10-30,0.445,0.445,0.445,0.445,000,0.445
2012-10-29,0.36,0.445,0.36,0.445,14000,0.445
2012-10-26,0.41,0.41,0.40,0.40,5200,0.40
2012-10-25,0.42,0.42,0.40,0.41,15000,0.41
2012-10-24,0.445,0.445,0.445,0.445,000,0.445
2012-10-23,0.445,0.445,0.445,0.445,000,0.445
2012-10-22,0.445,0.445,0.445,0.445,000,0.445
2012-10-19,0.445,0.445,0.445,0.445,000,0.445
2012-10-18,0.43,0.445,0.395,0.445,19500,0.445
2012-10-17,0.445,0.445,0.445,0.445,1000,0.445
2012-10-16,0.445,0.445,0.43,0.43,8500,0.43
2012-10-15,0.43,0.44,0.40,0.44,9500,0.44
2012-10-12,0.42,0.445,0.42,0.445,1500,0.445
2012-10-11,0.45,0.45,0.45,0.45,000,0.45
2012-10-10,0.415,0.45,0.415,0.45,3500,0.45
2012-10-09,0.45,0.45,0.45,0.45,000,0.45
2012-10-08,0.45,0.45,0.45,0.45,000,0.45
2012-10-05,0.45,0.45,0.45,0.45,000,0.45
2012-10-04,0.45,0.45,0.45,0.45,000,0.45
2012-10-03,0.45,0.45,0.45,0.45,5000,0.45
2012-10-02,0.43,0.43,0.43,0.43,1000,0.43
2012-10-01,0.44,0.44,0.44,0.44,6000,0.44
2012-09-28,0.43,0.43,0.43,0.43,000,0.43
2012-09-27,0.43,0.43,0.43,0.43,000,0.43
2012-09-26,0.40,0.45,0.40,0.43,29500,0.43
2012-09-25,0.46,0.46,0.46,0.46,000,0.46
2012-09-24,0.415,0.46,0.415,0.46,4400,0.46
2012-09-21,0.45,0.475,0.45,0.475,2000,0.475
2012-09-20,0.47,0.47,0.47,0.47,000,0.47
2012-09-19,0.47,0.47,0.47,0.47,000,0.47
2012-09-18,0.47,0.47,0.47,0.47,000,0.47
2012-09-17,0.425,0.475,0.42,0.47,30000,0.47
2012-09-14,0.445,0.445,0.445,0.445,000,0.445
2012-09-13,0.42,0.445,0.415,0.445,5000,0.445
2012-09-12,0.415,0.415,0.415,0.415,5200,0.415
2012-09-11,0.445,0.445,0.445,0.445,000,0.445
2012-09-10,0.445,0.445,0.445,0.445,000,0.445
2012-09-07,0.415,0.445,0.365,0.445,20100,0.445
2012-09-06,0.445,0.445,0.445,0.445,000,0.445
2012-09-05,0.445,0.445,0.445,0.445,000,0.445
2012-09-04,0.40,0.445,0.40,0.445,7500,0.445
2012-09-03,0.42,0.42,0.42,0.42,000,0.42
2012-08-31,0.42,0.42,0.42,0.42,4000,0.42
2012-08-30,0.38,0.45,0.38,0.45,74400,0.45
2012-08-29,0.34,0.34,0.34,0.34,5500,0.34
2012-08-28,0.37,0.37,0.37,0.37,000,0.37
2012-08-27,0.37,0.37,0.37,0.37,000,0.37
2012-08-24,0.37,0.37,0.37,0.37,000,0.37
2012-08-23,0.37,0.37,0.37,0.37,000,0.37
2012-08-22,0.37,0.37,0.37,0.37,000,0.37
2012-08-21,0.37,0.37,0.37,0.37,000,0.37
2012-08-20,0.37,0.37,0.37,0.37,000,0.37
2012-08-17,0.33,0.37,0.33,0.37,2000,0.37
2012-08-16,0.365,0.365,0.365,0.365,000,0.365
2012-08-15,0.365,0.365,0.365,0.365,000,0.365
2012-08-14,0.365,0.365,0.365,0.365,000,0.365
2012-08-13,0.365,0.365,0.365,0.365,600,0.365
2012-08-10,0.365,0.37,0.365,0.37,5000,0.37
2012-08-09,0.355,0.355,0.355,0.355,000,0.355
2012-08-08,0.355,0.355,0.355,0.355,000,0.355
2012-08-07,0.355,0.355,0.355,0.355,500,0.355
2012-08-06,0.305,0.305,0.305,0.305,000,0.305
2012-08-03,0.335,0.335,0.305,0.305,3600,0.305
2012-08-02,0.38,0.38,0.38,0.38,000,0.38
2012-08-01,0.38,0.38,0.38,0.38,000,0.38
2012-07-31,0.38,0.38,0.38,0.38,5000,0.38
2012-07-30,0.37,0.37,0.37,0.37,3000,0.37
2012-07-27,0.365,0.365,0.365,0.365,5000,0.365
2012-07-26,0.375,0.375,0.375,0.375,000,0.375
2012-07-25,0.375,0.375,0.375,0.375,000,0.375
2012-07-24,0.375,0.375,0.375,0.375,000,0.375
2012-07-23,0.375,0.375,0.375,0.375,000,0.375
2012-07-20,0.375,0.375,0.375,0.375,000,0.375
2012-07-19,0.35,0.38,0.35,0.375,11000,0.375
